id,organization,service_name,service_type,jurisdiction,phone,email,url,address,hours,eligibility_notes,languages,source_id,call_before_going,last_checked
scc_ssa_public_benefits,Santa Clara County Social Services Agency,Public benefits application support,benefits_office,Santa Clara County,408-758-3800,,https://ssa.santaclaracounty.gov/apply-public-benefits,"PO Box 11018, San Jose, CA 95103",,,[],scc_apply_public_benefits,False,2026-06-28
scc_wic,Santa Clara County Public Health,WIC nutrition program,wic,Santa Clara County,408-792-5101,,https://publichealth.santaclaracounty.gov/programs-and-services/apply-receive-nutrition-information-breastfeeding-support-and-healthy-foods,,,,[],scc_wic_apply,True,2026-06-28
scc_here4you,Santa Clara County / Here4You,Centralized shelter hotline,shelter,Santa Clara County / San José,408-385-2400,,https://osh.santaclaracounty.gov/get-assistance/temporary-and-emergency-shelter,,9 a.m. to 7 p.m. listed by San José guide,,[],scc_osh_temporary_emergency_shelter,True,2026-06-28
sanjose_homeless_guide,City of San José,Homeless Services Guide,housing_handoff,San José,408-385-2400,,https://www.sanjoseca.gov/your-government/departments-offices/housing/resource-library/homeless-services-guide,,,,[],sanjose_homeless_services_guide,False,2026-06-28
shfb_food_connection,Second Harvest of Silicon Valley,Food Connection Hotline and food locator,food,Santa Clara County / San Mateo County,1-800-984-3663,foodconnection@shfb.org,https://www.shfb.org/get-food/,,Mon–Fri; call/locator for current hours,,"[""English"", ""Spanish"", ""Vietnamese"", ""Chinese"", ""Tagalog""]",second_harvest_sv_get_food,True,2026-06-28
scc_211,211 Bay Area,Santa Clara County 211 resource navigation,211,Santa Clara County,211,,https://211bayarea.org/counties/santa-clara/,,,,[],scc_211_bayarea,False,2026-06-28
law_foundation_housing,Law Foundation of Silicon Valley,Housing / homelessness prevention legal help,legal_aid,Santa Clara County,408-516-5100,info@preventhomelessness.org,https://www.lawfoundation.org/housing,,,,[],law_foundation_housing_scc,True,2026-06-28
baylegal_scc,Bay Area Legal Aid,Santa Clara County office,legal_aid,Santa Clara County,408-283-3700,,https://baylegal.org/resources/santa-clara-county-office/,"4 North Second Street, Suite 600, San Jose, CA 95113",,,[],baylegal_santa_clara_office,True,2026-06-28
sfhsa_main,San Francisco Human Services Agency,Public benefits and social services,benefits_office,San Francisco,415-557-5000,,https://www.sfhsa.org/,,,,[],sfhsa_home,False,2026-06-28
sfhsa_calfresh,San Francisco Human Services Agency,CalFresh application help,benefits_office,San Francisco,855-355-5757,,https://www.sfhsa.org/services/food/calfresh/apply-calfresh,,,,[],sfhsa_calfresh_apply,False,2026-06-28
sfhsa_medi_cal,San Francisco Human Services Agency,Medi-Cal application help,health,San Francisco,855-355-5757,sfbncfmc@sfgov.org,https://www.sfhsa.org/services/health/medi-cal,,,,[],sfhsa_medi_cal,True,2026-06-28
sfhsa_caap,San Francisco Human Services Agency,County Adult Assistance Programs,cash_assistance,San Francisco,,,https://www.sfhsa.org/services/financial-assistance/county-adult-assistance-programs-caap,,,,[],sfhsa_caap,False,2026-06-28
sfhsa_calworks,San Francisco Human Services Agency,CalWORKs application help,cash_assistance,San Francisco,855-557-5100,,https://www.sfhsa.org/services/financial-assistance/calworks/apply-calworks,"170 Otis Street, San Francisco, CA",,,[],sfhsa_calworks_apply,False,2026-06-28
sf_wic_zsfg,San Francisco WIC,Zuckerberg San Francisco General Hospital WIC Clinic,wic,San Francisco,628-206-5494,,https://www.sf.gov/information--wic-clinic-hours-and-locations,"2550 23rd Street, Building 9, Room 125, San Francisco, CA 94110",,,[],sf_wic_clinic_hours_locations,True,2026-06-28
sfhsa_free_food,San Francisco HSA,Free Food Locations directory,food,San Francisco,,,https://www.sfhsa.org/services/food/free-food-locations,,,,[],sfhsa_free_food_locations,True,2026-06-28
sf_marin_food_bank,SF-Marin Food Bank,Find Food locator,food,San Francisco,,,https://www.sfmfoodbank.org/find-food/,,,,"[""English"", ""Spanish"", ""Chinese"", ""Russian"", ""Tagalog"", ""Vietnamese""]",sf_marin_food_bank_find_food,True,2026-06-28
